,Case_No,Days_of_Mon,Time_occured(24hr),Areas,Zip_Codes,Crimes,Weapons
6093,221209562,7,1930,77th Street,90037,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",UNKNOWN FIREARM
6094,221707483,7,1220,Devonshire,91344,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),
6095,221508250,2,1800,N Hollywood,91606,THEFT OF IDENTITY,
6096,220308782,7,1930,Southwest,90018,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",FOLDING KNIFE
6097,220109879,7,1930,Central,90021,THEFT PLAIN - PETTY ($950 & UNDER),
6098,221107603,5,0930,Northeast,90026,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6099,220707731,1,2000,Wilshire,90036,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6100,220308766,7,2240,Southwest,90008,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6101,221808825,7,1900,Southeast,90003,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",HAND GUN
6102,220608522,7,0800,Hollywood,90028,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6103,221907953,7,0700,Mission,91342,VEHICLE - STOLEN,
6104,221907968,7,0530,Mission,91331,"RAPE, FORCIBLE","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6105,220109770,7,0001,Central,90015,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6106,221209544,7,1115,77th Street,90043,DISCHARGE FIREARMS/SHOTS FIRED,HAND GUN
6107,221707474,3,1700,Devonshire,91324,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
6108,220608632,7,2055,Hollywood,90038,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),
6109,221209509,7,0130,77th Street,90043,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",HAND GUN
6110,221007657,1,1217,West Valley,91403,THEFT OF IDENTITY,
6111,221408869,5,0430,Pacific,90291,BURGLARY FROM VEHICLE,
6112,222008167,7,1000,Olympic,90004,VEHICLE - STOLEN,
6113,220109862,7,1400,Central,90012,ROBBERY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6114,220707703,7,1744,Wilshire,90036,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",
6115,221607106,7,1900,Foothill,91342,BRANDISH WEAPON,FOLDING KNIFE
6116,222008198,3,1300,Olympic,90020,BATTERY - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6117,220208483,7,2030,Rampart,90029,VIOLATION OF RESTRAINING ORDER,
6118,220608452,7,2330,Hollywood,90028,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6119,222008161,6,2000,Olympic,90006,VEHICLE - STOLEN,
6120,221707492,7,1830,Devonshire,91324,INTIMATE PARTNER - SIMPLE ASSAULT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"
6121,222008215,3,1200,Olympic,90006,VEHICLE - ATTEMPT STOLEN,
6122,221007668,6,1830,West Valley,91335,BURGLARY FROM VEHICLE,
6123,220208422,6,0830,Rampart,90012,VEHICLE - STOLEN,
6124,221209559,7,1920,77th Street,90001,BURGLARY FROM VEHICLE,
6125,222107795,7,0550,Topanga,91367,BURGLARY FROM VEHICLE,
6126,221508245,6,1125,N Hollywood,90068,BURGLARY FROM VEHICLE,
